log_wage,years_of_schooling,year_of_birth,quarter_of_birth,state_of_birth
5.790019,12.0,30.0,1.0,45.0
5.952494,11.0,30.0,1.0,45.0
5.315949,12.0,30.0,1.0,45.0
5.595926,12.0,30.0,1.0,45.0
6.068915,12.0,30.0,1.0,37.0
5.793871,11.0,30.0,1.0,45.0
6.389161,11.0,30.0,1.0,36.0
6.047781,12.0,30.0,1.0,51.0
5.354861,11.0,30.0,1.0,45.0
5.259597,7.0,30.0,1.0,45.0
5.239404,10.0,30.0,1.0,45.0
5.874553,12.0,30.0,1.0,45.0
6.001272,14.0,30.0,1.0,45.0
5.508173,12.0,30.0,1.0,45.0
5.866414,16.0,30.0,1.0,13.0
5.729413,12.0,30.0,1.0,1.0
5.729413,16.0,30.0,1.0,31.0
5.809437,8.0,30.0,1.0,13.0
6.657937,16.0,30.0,1.0,51.0
6.289252,9.0,30.0,1.0,13.0
6.631926,16.0,30.0,1.0,45.0
6.092223,11.0,30.0,1.0,45.0
5.971912,3.0,30.0,1.0,45.0
5.847161,10.0,30.0,1.0,45.0
6.239488,12.0,30.0,1.0,45.0
6.357876,12.0,30.0,1.0,45.0
6.752745,18.0,30.0,1.0,17.0
6.047781,10.0,30.0,1.0,45.0
6.152528,11.0,30.0,1.0,13.0
4.931287,13.0,30.0,1.0,45.0
3.883974,12.0,30.0,1.0,39.0
6.023867,12.0,30.0,1.0,45.0
5.441835,12.0,30.0,1.0,36.0
6.332576,10.0,30.0,1.0,6.0
4.606131,6.0,30.0,1.0,36.0
6.542389,13.0,30.0,1.0,25.0
4.502584,8.0,30.0,1.0,50.0
5.874553,16.0,30.0,1.0,50.0
4.929898,12.0,30.0,1.0,50.0
5.455957,12.0,30.0,1.0,34.0
6.001272,12.0,30.0,1.0,50.0
6.092223,17.0,30.0,1.0,50.0
5.499443,12.0,30.0,1.0,50.0
6.620201,6.0,30.0,1.0,39.0
6.357876,12.0,30.0,1.0,39.0
6.047781,12.0,30.0,1.0,39.0
5.464891,12.0,30.0,1.0,54.0
6.620201,12.0,30.0,1.0,54.0
5.760175,12.0,30.0,1.0,54.0
5.441835,12.0,30.0,1.0,54.0
5.036578,5.0,30.0,1.0,54.0
6.288895,12.0,30.0,1.0,4.0
5.790019,9.0,30.0,1.0,54.0
5.165335,8.0,30.0,1.0,54.0
6.175587,11.0,30.0,1.0,54.0
5.522294,8.0,30.0,1.0,54.0
5.721887,14.0,30.0,1.0,54.0
6.465816,8.0,30.0,1.0,54.0
5.809455,11.0,30.0,1.0,54.0
3.484194,11.0,30.0,1.0,54.0
6.351859,12.0,30.0,1.0,54.0
6.397207,8.0,30.0,1.0,54.0
4.972081,12.0,30.0,1.0,54.0
5.32084,8.0,30.0,1.0,54.0
5.075799,7.0,30.0,1.0,54.0
5.901214,12.0,30.0,1.0,54.0
6.105608,17.0,30.0,1.0,54.0
5.664895,12.0,30.0,1.0,54.0
7.19918,20.0,30.0,1.0,54.0
5.116621,6.0,30.0,1.0,54.0
6.413932,13.0,30.0,1.0,51.0
5.595926,8.0,30.0,1.0,54.0
6.252534,12.0,30.0,1.0,51.0
5.790019,12.0,30.0,1.0,54.0
3.91452,6.0,30.0,1.0,54.0
5.658208,4.0,30.0,1.0,54.0
6.075346,12.0,30.0,1.0,54.0
5.996763,8.0,30.0,1.0,54.0
5.47783,12.0,30.0,1.0,54.0
5.901214,12.0,30.0,1.0,54.0
6.2148,13.0,30.0,1.0,54.0
5.521961,9.0,30.0,1.0,54.0
6.514023,12.0,30.0,1.0,54.0
5.441835,19.0,30.0,1.0,54.0
6.175587,12.0,30.0,1.0,54.0
6.163517,12.0,30.0,1.0,54.0
5.847161,13.0,30.0,1.0,54.0
5.336521,12.0,30.0,1.0,54.0
6.677495,16.0,30.0,1.0,8.0
5.298817,15.0,30.0,1.0,54.0
6.037274,12.0,30.0,1.0,54.0
6.151647,12.0,30.0,1.0,54.0
5.879942,12.0,30.0,1.0,54.0
6.134774,8.0,30.0,1.0,54.0
5.729413,10.0,30.0,1.0,54.0
5.729413,13.0,30.0,1.0,54.0
6.05978,8.0,30.0,1.0,54.0
5.729413,11.0,30.0,1.0,54.0
5.94949,12.0,30.0,1.0,54.0
5.501258,4.0,30.0,1.0,54.0
4.193435,6.0,30.0,1.0,54.0
6.252904,12.0,30.0,1.0,54.0
6.39066,18.0,30.0,1.0,54.0
6.40316,8.0,30.0,1.0,54.0
5.729413,17.0,30.0,1.0,21.0
5.574272,8.0,30.0,1.0,21.0
5.511972,8.0,30.0,1.0,54.0
6.106466,12.0,30.0,1.0,54.0
5.657489,7.0,30.0,1.0,54.0
6.25563,13.0,30.0,1.0,54.0
5.20833,14.0,30.0,1.0,21.0
5.015112,12.0,30.0,1.0,54.0
5.524257,12.0,30.0,1.0,54.0
5.259597,8.0,30.0,1.0,21.0
5.790019,7.0,30.0,1.0,54.0
5.940434,12.0,30.0,1.0,54.0
5.933976,12.0,30.0,1.0,39.0
6.512002,12.0,30.0,1.0,54.0
6.36195,8.0,30.0,1.0,54.0
5.289349,9.0,30.0,1.0,54.0
7.050939,12.0,30.0,1.0,54.0
6.07424,9.0,30.0,1.0,54.0
6.357876,12.0,30.0,1.0,51.0
6.132656,18.0,30.0,1.0,17.0
6.029436,8.0,30.0,1.0,31.0
5.911682,8.0,30.0,1.0,31.0
6.512002,12.0,30.0,1.0,56.0
5.018934,12.0,30.0,1.0,20.0
6.075096,10.0,30.0,1.0,56.0
5.987852,14.0,30.0,1.0,18.0
5.521845,12.0,30.0,1.0,56.0
5.952494,2.0,30.0,1.0,31.0
6.665316,16.0,30.0,1.0,31.0
5.901214,12.0,30.0,1.0,46.0
6.142306,17.0,30.0,1.0,40.0
5.952494,16.0,30.0,1.0,56.0
6.092223,14.0,30.0,1.0,56.0
6.468604,18.0,30.0,1.0,56.0
6.502446,12.0,30.0,1.0,29.0
6.014215,16.0,30.0,1.0,8.0
5.376904,12.0,30.0,1.0,36.0
5.176258,12.0,30.0,1.0,23.0
5.915003,9.0,30.0,1.0,36.0
5.678696,16.0,30.0,1.0,36.0
5.901214,11.0,30.0,1.0,36.0
5.805772,12.0,30.0,1.0,18.0
5.234445,8.0,30.0,1.0,36.0
5.042051,8.0,30.0,1.0,36.0
6.187514,11.0,30.0,1.0,36.0
5.891166,6.0,30.0,1.0,9.0
6.134774,12.0,30.0,1.0,36.0
5.863686,12.0,30.0,1.0,36.0
5.116621,12.0,30.0,1.0,36.0
5.106528,6.0,30.0,1.0,36.0
5.904103,12.0,30.0,1.0,36.0
3.834061,7.0,30.0,1.0,36.0
6.023816,12.0,30.0,1.0,36.0
5.181676,7.0,30.0,1.0,36.0
6.086,11.0,30.0,1.0,36.0
6.052383,15.0,30.0,1.0,36.0
6.032537,9.0,30.0,1.0,36.0
5.595926,12.0,30.0,1.0,36.0
6.097075,8.0,30.0,1.0,36.0
5.847161,12.0,30.0,1.0,42.0
6.216337,12.0,30.0,1.0,36.0
6.001272,17.0,30.0,1.0,36.0
5.97718,12.0,30.0,1.0,36.0
6.397096,12.0,30.0,1.0,36.0
5.036578,10.0,30.0,1.0,36.0
